ID,Timestamp,texte_clean,year,month,day_str,month_str
1058395865234030722,2022-12-30 14:47:18.316000+00:00,prevoie mouchoir fin,2022,12,Vendredi,Décembre
1058395835685146734,2022-12-30 14:47:11.271000+00:00,envie relire manque,2022,12,Vendredi,Décembre
1058395772141449276,2022-12-30 14:46:56.121000+00:00,adapter,2022,12,Vendredi,Décembre
1058395755443920976,2022-12-30 14:46:52.140000+00:00,serie,2022,12,Vendredi,Décembre
1058395468188622918,2022-12-30 14:45:43.653000+00:00,trilogie philippe pullman boussole,2022,12,Vendredi,Décembre
1058395379252609138,2022-12-30 14:45:22.449000+00:00,donne titre anglais,2022,12,Vendredi,Décembre
1058391480584110193,2022-12-30 14:29:52.934000+00:00,rappeler autant marquer avai lire,2022,12,Vendredi,Décembre
1058391364624203786,2022-12-30 14:29:25.287000+00:00,terminer serie his dark material,2022,12,Vendredi,Décembre
1058117483153866923,2022-12-29 20:21:06.856000+00:00,snif,2022,12,Jeudi,Décembre
1058117475436343419,2022-12-29 20:21:05.016000+00:00,laisse,2022,12,Jeudi,Décembre
1058117463218335834,2022-12-29 20:21:02.103000+00:00,ahh sadique,2022,12,Jeudi,Décembre
1057759805219012649,2022-12-28 20:39:49.791000+00:00,pauvre sensei tape luire,2022,12,Mercredi,Décembre
1057750913768509582,2022-12-28 20:04:29.904000+00:00,expliquer noel moment,2022,12,Mercredi,Décembre
1057750861717188619,2022-12-28 20:04:17.494000+00:00,entendre sensei rageux,2022,12,Mercredi,Décembre
1057750824559849522,2022-12-28 20:04:08.635000+00:00,mdr,2022,12,Mercredi,Décembre
1057744401893437491,2022-12-28 19:38:37.352000+00:00,noel,2022,12,Mercredi,Décembre
1055764953014997002,2022-12-23 08:32:59.963000+00:00,pareil partout,2022,12,Vendredi,Décembre
1055764898103185478,2022-12-23 08:32:46.871000+00:00,chaud froid,2022,12,Vendredi,Décembre
1055764869984550932,2022-12-23 08:32:40.167000+00:00,compter traine pre frigo congelo,2022,12,Vendredi,Décembre
1055764812828782652,2022-12-23 08:32:26.540000+00:00,lidl magasin sou climatisation chauffage apre sortie,2022,12,Vendredi,Décembre
1055764283864137748,2022-12-23 08:30:20.425000+00:00,semaine progre,2022,12,Vendredi,Décembre
1055764222140756068,2022-12-23 08:30:05.709000+00:00,bosse bcp froid,2022,12,Vendredi,Décembre
1055764156785119232,2022-12-23 08:29:50.127000+00:00,voix cassee toux part,2022,12,Vendredi,Décembre
1055763474967445554,2022-12-23 08:27:07.569000+00:00,semaine derniere entrer creve projet vraiment lacher lest,2022,12,Vendredi,Décembre
1055763397871927306,2022-12-23 08:26:49.188000+00:00,decrocher,2022,12,Vendredi,Décembre
1055763335611682887,2022-12-23 08:26:34.344000+00:00,content,2022,12,Vendredi,Décembre
1055763307425955921,2022-12-23 08:26:27.624000+00:00,aile donjon porte,2022,12,Vendredi,Décembre
1055763081671753798,2022-12-23 08:25:33.800000+00:00,idee,2022,12,Vendredi,Décembre
1055762689458192414,2022-12-23 08:24:00.289000+00:00,luire pareil,2022,12,Vendredi,Décembre
1055762653919858718,2022-12-23 08:23:51.816000+00:00,justement conscience professionel,2022,12,Vendredi,Décembre
1055762424906653736,2022-12-23 08:22:57.215000+00:00,apre apprecie contrat entierement signer heure,2022,12,Vendredi,Décembre
1055762267716735038,2022-12-23 08:22:19.738000+00:00,obligee,2022,12,Vendredi,Décembre
1055762201996185681,2022-12-23 08:22:04.069000+00:00,voiler,2022,12,Vendredi,Décembre
1055761993895792690,2022-12-23 08:21:14.454000+00:00,annee luire montrerai     base erreur,2022,12,Vendredi,Décembre
1055761674835075132,2022-12-23 08:19:58.384000+00:00,genre min depanner sympa,2022,12,Vendredi,Décembre
1055761602542051349,2022-12-23 08:19:41.148000+00:00,taire rester pay,2022,12,Vendredi,Décembre
1055761454973857812,2022-12-23 08:19:05.965000+00:00,fai pay,2022,12,Vendredi,Décembre
1055761117454020699,2022-12-23 08:17:45.494000+00:00,luire gere planning,2022,12,Vendredi,Décembre
1055761066430304328,2022-12-23 08:17:33.329000+00:00,avouer delicat,2022,12,Vendredi,Décembre
1055761029520429076,2022-12-23 08:17:24.529000+00:00,luire eviter compte luire compte,2022,12,Vendredi,Décembre
1055576494371504220,2022-12-22 20:04:07.921000+00:00,profit,2022,12,Jeudi,Décembre
1055576459147755580,2022-12-22 20:03:59.523000+00:00,souci,2022,12,Jeudi,Décembre
1055576114711506954,2022-12-22 20:02:37.403000+00:00,miqote vien soiree carte,2022,12,Jeudi,Décembre
1052909422420164608,2022-12-15 11:26:08.416000+00:00,galere utiliser module python nuit courte bel bronchite semaine sentir largue,2022,12,Jeudi,Décembre
1052909188805836880,2022-12-15 11:25:12.718000+00:00,ger,2022,12,Jeudi,Décembre
1052909154097975346,2022-12-15 11:25:04.443000+00:00,huhu,2022,12,Jeudi,Décembre
1052339925258875001,2022-12-13 21:43:09.712000+00:00,nuit,2022,12,Mardi,Décembre
1052339887728246824,2022-12-13 21:43:00.764000+00:00,laisse beal reve,2022,12,Mardi,Décembre
1052339816861274172,2022-12-13 21:42:43.868000+00:00,rhooo,2022,12,Mardi,Décembre
1052339786767159316,2022-12-13 21:42:36.693000+00:00,arreter aimer commance,2022,12,Mardi,Décembre
1052339699064254554,2022-12-13 21:42:15.783000+00:00,snif,2022,12,Mardi,Décembre
1052339546827792425,2022-12-13 21:41:39.487000+00:00,dodo heure,2022,12,Mardi,Décembre
